City,Country,Latitude,Longitude,Temperature,Wind,Pressure,Humidity,Cloudiness,Date
butaritari,PG,3.0707,172.7902,28.13,6.52,1013.0,66.0,11.0,1628376831.0
cape town,PG,-33.9258,18.4232,10.04,1.54,1015.0,100.0,90.0,1628376857.0
gusau,PG,12.1628,6.6614,23.86,6.49,1013.0,86.0,83.0,1628377089.0
cidreira,PG,-30.1811,-50.2056,16.29,5.68,1019.0,90.0,2.0,1628377090.0
puerto ayora,PG,-0.7393,-90.3518,21.97,3.58,1013.0,84.0,68.0,1628377092.0
vaini,PG,-21.2,-175.2,22.09,2.57,1020.0,73.0,75.0,1628377093.0
kaili,PG,-3.4626,120.2147,20.0,0.86,1015.0,92.0,100.0,1628377095.0
alofi,PG,-19.0595,-169.9187,24.94,5.14,1018.0,65.0,27.0,1628377096.0
busselton,PG,-33.65,115.3333,13.91,0.75,1011.0,91.0,96.0,1628377097.0
barrow,PG,71.2906,-156.7887,3.47,3.25,1018.0,72.0,73.0,1628377098.0
pevek,PG,69.7008,170.3133,5.59,3.91,1028.0,72.0,29.0,1628376845.0
ushuaia,PG,-54.8,-68.3,-1.19,15.95,992.0,93.0,90.0,1628377101.0
rikitea,PG,-23.1203,-134.9692,23.4,6.12,1018.0,79.0,12.0,1628377051.0
nanortalik,PG,60.1432,-45.2371,8.12,6.1,997.0,91.0,100.0,1628377103.0
tautira,PG,-17.7333,-149.15,29.01,4.18,1017.0,75.0,68.0,1628377105.0
bambous virieux,PG,-20.3428,57.7575,20.14,1.54,1021.0,88.0,75.0,1628377106.0
torbay,PG,47.6666,-52.7314,20.03,7.72,1016.0,85.0,75.0,1628377107.0
bredasdorp,PG,-34.5322,20.0403,10.62,3.09,1015.0,93.0,99.0,1628377109.0
ghanzi,PG,-21.5667,21.7833,14.96,2.63,1021.0,25.0,1.0,1628377110.0
punta arenas,PG,-53.15,-70.9167,2.06,11.83,1002.0,80.0,0.0,1628376833.0
hithadhoo,PG,-0.6,73.0833,27.66,3.37,1011.0,74.0,100.0,1628377112.0
san cristobal,PG,7.7669,-72.225,28.1,1.51,1014.0,84.0,80.0,1628377114.0
avera,PG,33.194,-82.5271,30.76,1.35,1016.0,54.0,70.0,1628377115.0
albany,PG,42.6001,-73.9662,24.9,0.99,1015.0,81.0,100.0,1628376820.0
hermanus,PG,-34.4187,19.2345,9.89,1.91,1017.0,73.0,94.0,1628377117.0
biasca,PG,46.3597,8.9697,17.55,2.67,1013.0,96.0,100.0,1628377119.0
boddam,PG,57.4667,-1.7833,13.7,5.33,995.0,91.0,3.0,1628377120.0
lagoa,PG,39.05,-27.9833,20.29,4.54,1027.0,67.0,43.0,1628377121.0
mar del plata,PG,-38.0023,-57.5575,11.01,4.63,1015.0,87.0,20.0,1628377123.0
saint-philippe,PG,-21.3585,55.7679,19.67,5.48,1021.0,80.0,39.0,1628377124.0
ranong,PG,9.9658,98.6348,26.01,3.19,1010.0,90.0,88.0,1628377125.0
avarua,PG,-21.2078,-159.775,26.03,3.6,1017.0,65.0,18.0,1628377127.0
college,PG,64.8569,-147.8028,14.05,0.45,1010.0,89.0,90.0,1628377128.0
kuybyshevskiy zaton,PG,55.1593,49.1701,16.32,2.77,1019.0,65.0,35.0,1628377129.0
